[LINE:2]# [2019-10-11 15:39:00,791]  Started
[LINE:14]# [2019-10-11 15:40:49,105]  Ошибка DecisionTreeClassifier: 8.71% with params {'criterion': 'gini'}
[LINE:14]# [2019-10-11 15:42:11,309]  Ошибка DecisionTreeClassifier: 9.32% with params {'criterion': 'entropy'}
[LINE:14]# [2019-10-11 15:43:15,878]  Ошибка RandomForestClassifier: 13.20% with params {'criterion': 'gini', 'n_estimators': 10}
[LINE:14]# [2019-10-11 15:52:28,782]  Ошибка RandomForestClassifier: 12.89% with params {'criterion': 'gini', 'n_estimators': 100}
[LINE:14]# [2019-10-11 15:53:36,682]  Ошибка RandomForestClassifier: 14.40% with params {'criterion': 'entropy', 'n_estimators': 10}
[LINE:14]# [2019-10-11 16:03:18,900]  Ошибка RandomForestClassifier: 14.23% with params {'criterion': 'entropy', 'n_estimators': 100}
[LINE:2]# [2019-10-11 16:30:55,848]  Started
[LINE:14]# [2019-10-11 16:31:42,855]  Ошибка AdaBoostClassifier: 15.62% with params {}
[LINE:22]# [2019-10-11 16:31:51,450]  Finished
[LINE:2]# [2019-10-11 16:34:35,476]  Started
[LINE:22]# [2019-10-11 16:34:45,562]  Finished
[LINE:2]# [2019-10-11 16:35:03,508]  Started
[LINE:2]# [2019-10-11 17:19:16,937]  Started
[LINE:14]# [2019-10-11 17:19:27,866]  Ошибка SGDClassifier: 9.12% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:19:38,394]  Ошибка SGDClassifier: 27.51% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:19:48,950]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:19:59,340]  Ошибка SGDClassifier: 6.95% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:20:09,791]  Ошибка SGDClassifier: 7.47% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:20:20,129]  Ошибка SGDClassifier: 7.16% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:20:30,554]  Ошибка SGDClassifier: 7.47% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:20:41,042]  Ошибка SGDClassifier: 7.21% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:20:51,487]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:21:02,121]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:21:12,694]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:21:23,111]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:21:33,573]  Ошибка SGDClassifier: 8.98% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:21:43,920]  Ошибка SGDClassifier: 27.51% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:21:54,468]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:22:05,035]  Ошибка SGDClassifier: 7.07% with params {'loss': 'hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:22:15,359]  Ошибка SGDClassifier: 12.61% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:22:26,093]  Ошибка SGDClassifier: 27.51% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:22:38,089]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.001}
